구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y
kor,1100000000,서울특별시,,,60,127
kor,1111000000,서울특별시,종로구,,60,127
kor,1114000000,서울특별시,중구,,60,127
kor,1117000000,서울특별시,용산구,,60,126
kor,1120000000,서울특별시,성동구,,61,127
kor,1121500000,서울특별시,광진구,,62,126
kor,1123000000,서울특별시,동대문구,,61,127
kor,1126000000,서울특별시,중랑구,,62,128
kor,1129000000,서울특별시,성북구,,61,127
kor,1130500000,서울특별시,강북구,,61,128
kor,1132000000,서울특별시,도봉구,,61,129
kor,1135000000,서울특별시,노원구,,61,129
kor,1138000000,서울특별시,은평구,,59,127
kor,1141000000,서울특별시,서대문구,,59,127
kor,1144000000,서울특별시,마포구,,59,127
kor,1147000000,서울특별시,양천구,,58,126
kor,1150000000,서울특별시,강서구,,58,126
kor,1153000000,서울특별시,구로구,,58,125
kor,1154500000,서울특별시,금천구,,59,124
kor,1156000000,서울특별시,영등포구,,58,126
kor,1159000000,서울특별시,동작구,,59,125
kor,1162000000,서울특별시,관악구,,59,125
kor,1165000000,서울특별시,서초구,,61,125
kor,1168000000,서울특별시,강남구,,61,126
kor,1171000000,서울특별시,송파구,,62,126
kor,1174000000,서울특별시,강동구,,62,126
kor,2600000000,부산광역시,,,98,76
kor,2611000000,부산광역시,중구,,97,74
kor,2614000000,부산광역시,서구,,97,74
kor,2617000000,부산광역시,동구,,98,75
kor,2620000000,부산광역시,영도구,,98,74
kor,2623000000,부산광역시,부산진구,,97,75
kor,2626000000,부산광역시,동래구,,98,76
kor,2629000000,부산광역시,남구,,98,75
kor,2632000000,부산광역시,북구,,96,76
kor,2635000000,부산광역시,해운대구,,99,75
kor,2638000000,부산광역시,사하구,,96,74
kor,2641000000,부산광역시,금정구,,98,77
kor,2644000000,부산광역시,강서구,,96,76
kor,2647000000,부산광역시,연제구,,98,76
kor,2650000000,부산광역시,수영구,,99,75
kor,2653000000,부산광역시,사상구,,96,75
kor,2671000000,부산광역시,기장군,,100,77
kor,2700000000,대구광역시,,,89,90
kor,2711000000,대구광역시,중구,,89,90
kor,2714000000,대구광역시,동구,,90,91
kor,2717000000,대구광역시,서구,,88,90
kor,2720000000,대구광역시,남구,,89,90
kor,2723000000,대구광역시,북구,,89,91
kor,2726000000,대구광역시,수성구,,89,90
kor,2729000000,대구광역시,달서구,,88,90
kor,2771000000,대구광역시,달성군,,86,88
kor,2800000000,인천광역시,,,55,124
kor,2811000000,인천광역시,중구,,54,125
kor,2814000000,인천광역시,동구,,54,125
kor,2817700000,인천광역시,미추홀구,,54,124
kor,2818500000,인천광역시,연수구,,55,123
kor,2820000000,인천광역시,남동구,,56,124
kor,2823700000,인천광역시,부평구,,55,125
kor,2824500000,인천광역시,계양구,,56,126
kor,2826000000,인천광역시,서구,,55,126
kor,2871000000,인천광역시,강화군,,51,130
kor,2872000000,인천광역시,옹진군,,54,124
kor,2900000000,광주광역시,,,58,74
kor,2911000000,광주광역시,동구,,60,74
kor,2914000000,광주광역시,서구,,59,74
kor,2915500000,광주광역시,남구,,59,73
kor,2917000000,광주광역시,북구,,59,75
kor,2920000000,광주광역시,광산구,,57,74
kor,3000000000,대전광역시,,,67,100
kor,3011000000,대전광역시,동구,,68,100
kor,3014000000,대전광역시,중구,,68,100
kor,3017000000,대전광역시,서구,,67,100
kor,3020000000,대전광역시,유성구,,67,101
kor,3023000000,대전광역시,대덕구,,68,100
kor,3100000000,울산광역시,,,102,84
kor,3111000000,울산광역시,중구,,102,84
kor,3114000000,울산광역시,남구,,102,84
kor,3117000000,울산광역시,동구,,104,83
kor,3120000000,울산광역시,북구,,103,85
kor,3171000000,울산광역시,울주군,,101,84
kor,3600000000,세종특별자치시,,,66,103
kor,3611000000,세종특별자치시,세종특별자치시,,66,103
kor,4100000000,경기도,,,60,120
kor,4111100000,경기도,수원시장안구,,60,121
kor,4111300000,경기도,수원시권선구,,60,120
kor,4111500000,경기도,수원시팔달구,,61,121
kor,4111700000,경기도,수원시영통구,,61,120
kor,4113100000,경기도,성남시수정구,,63,124
kor,4113300000,경기도,성남시중원구,,63,124
kor,4113500000,경기도,성남시분당구,,62,123
kor,4115000000,경기도,의정부시,,61,130
kor,4117100000,경기도,안양시만안구,,59,123
kor,4117300000,경기도,안양시동안구,,59,123
kor,4119000000,경기도,부천시,,56,125
kor,4121000000,경기도,광명시,,58,125
kor,4122000000,경기도,평택시,,62,114
kor,4125000000,경기도,동두천시,,61,134
kor,4127100000,경기도,안산시상록구,,58,121
kor,4127300000,경기도,안산시단원구,,57,121
kor,4128100000,경기도,고양시덕양구,,57,128
kor,4128500000,경기도,고양시일산동구,,56,129
kor,4128700000,경기도,고양시일산서구,,56,129
kor,4129000000,경기도,과천시,,60,124
kor,4131000000,경기도,구리시,,62,127
kor,4136000000,경기도,남양주시,,64,128
kor,4137000000,경기도,오산시,,62,118
kor,4139000000,경기도,시흥시,,57,123
kor,4141000000,경기도,군포시,,59,122
kor,4143000000,경기도,의왕시,,60,122
kor,4145000000,경기도,하남시,,64,126
kor,4146100000,경기도,용인시처인구,,64,119
kor,4146300000,경기도,용인시기흥구,,62,120
kor,4146500000,경기도,용인시수지구,,62,121
kor,4148000000,경기도,파주시,,56,131
kor,4150000000,경기도,이천시,,68,121
kor,4155000000,경기도,안성시,,65,115
kor,4157000000,경기도,김포시,,55,128
kor,4159000000,경기도,화성시,,57,119
kor,4161000000,경기도,광주시,,65,123
kor,4163000000,경기도,양주시,,61,131
kor,4165000000,경기도,포천시,,64,134
kor,4167000000,경기도,여주시,,71,121
kor,4180000000,경기도,연천군,,61,138
kor,4182000000,경기도,가평군,,69,133
kor,4183000000,경기도,양평군,,69,125
kor,4300000000,충청북도,,,69,107
kor,4311100000,충청북도,청주시상당구,,69,106
kor,4311200000,충청북도,청주시서원구,,69,107
kor,4311300000,충청북도,청주시흥덕구,,67,106
kor,4311400000,충청북도,청주시청원구,,69,107
kor,4313000000,충청북도,충주시,,76,114
kor,4315000000,충청북도,제천시,,81,118
kor,4372000000,충청북도,보은군,,73,103
kor,4373000000,충청북도,옥천군,,71,99
kor,4374000000,충청북도,영동군,,74,97
kor,4374500000,충청북도,증평군,,71,110
kor,4375000000,충청북도,진천군,,68,111
kor,4376000000,충청북도,괴산군,,74,111
kor,4377000000,충청북도,음성군,,72,113
kor,4380000000,충청북도,단양군,,84,115
kor,4400000000,충청남도,,,68,100
kor,4413100000,충청남도,천안시동남구,,63,110
kor,4413300000,충청남도,천안시서북구,,63,112
kor,4415000000,충청남도,공주시,,63,102
kor,4418000000,충청남도,보령시,,54,100
kor,4420000000,충청남도,아산시,,60,110
kor,4421000000,충청남도,서산시,,51,110
kor,4423000000,충청남도,논산시,,62,97
kor,4425000000,충청남도,계룡시,,65,99
kor,4427000000,충청남도,당진시,,54,112
kor,4471000000,충청남도,금산군,,69,95
kor,4476000000,충청남도,부여군,,59,99
kor,4477000000,충청남도,서천군,,55,94
kor,4479000000,충청남도,청양군,,57,103
kor,4480000000,충청남도,홍성군,,55,106
kor,4481000000,충청남도,예산군,,58,107
kor,4482500000,충청남도,태안군,,48,109
kor,4500000000,전라북도,,,63,89
kor,4511100000,전라북도,전주시완산구,,63,89
kor,4511300000,전라북도,전주시덕진구,,63,89
kor,4513000000,전라북도,군산시,,56,92
kor,4514000000,전라북도,익산시,,60,91
kor,4518000000,전라북도,정읍시,,58,83
kor,4519000000,전라북도,남원시,,68,80
kor,4521000000,전라북도,김제시,,59,88
kor,4571000000,전라북도,완주군,,63,89
kor,4572000000,전라북도,진안군,,68,88
kor,4573000000,전라북도,무주군,,72,93
kor,4574000000,전라북도,장수군,,70,85
kor,4575000000,전라북도,임실군,,66,84
kor,4577000000,전라북도,순창군,,63,79
kor,4579000000,전라북도,고창군,,56,80
kor,4580000000,전라북도,부안군,,56,87
kor,4600000000,전라남도,,,51,67
kor,4611000000,전라남도,목포시,,50,67
kor,4613000000,전라남도,여수시,,73,66
kor,4615000000,전라남도,순천시,,70,70
kor,4617000000,전라남도,나주시,,56,71
kor,4623000000,전라남도,광양시,,73,70
kor,4671000000,전라남도,담양군,,61,78
kor,4672000000,전라남도,곡성군,,66,77
kor,4673000000,전라남도,구례군,,69,75
kor,4677000000,전라남도,고흥군,,66,62
kor,4678000000,전라남도,보성군,,62,66
kor,4679000000,전라남도,화순군,,61,72
kor,4680000000,전라남도,장흥군,,59,64
kor,4681000000,전라남도,강진군,,57,63
kor,4682000000,전라남도,해남군,,54,61
kor,4683000000,전라남도,영암군,,56,66
kor,4684000000,전라남도,무안군,,52,71
kor,4686000000,전라남도,함평군,,52,72
kor,4687000000,전라남도,영광군,,52,77
kor,4688000000,전라남도,장성군,,57,77
kor,4689000000,전라남도,완도군,,57,56
kor,4690000000,전라남도,진도군,,48,59
kor,4691000000,전라남도,신안군,,50,66
kor,4700000000,경상북도,,,89,91
kor,4711100000,경상북도,포항시남구,,102,94
kor,4711300000,경상북도,포항시북구,,102,95
kor,4713000000,경상북도,경주시,,100,91
kor,4715000000,경상북도,김천시,,80,96
kor,4717000000,경상북도,안동시,,91,106
kor,4719000000,경상북도,구미시,,84,96
kor,4721000000,경상북도,영주시,,89,111
kor,4723000000,경상북도,영천시,,95,93
kor,4725000000,경상북도,상주시,,81,102
kor,4728000000,경상북도,문경시,,81,106
kor,4729000000,경상북도,경산시,,91,90
kor,4772000000,경상북도,군위군,,88,99
kor,4773000000,경상북도,의성군,,90,101
kor,4775000000,경상북도,청송군,,96,103
kor,4776000000,경상북도,영양군,,97,108
kor,4777000000,경상북도,영덕군,,102,103
kor,4782000000,경상북도,청도군,,91,86
kor,4783000000,경상북도,고령군,,83,87
kor,4784000000,경상북도,성주군,,83,91
kor,4785000000,경상북도,칠곡군,,85,93
kor,4790000000,경상북도,예천군,,86,107
kor,4792000000,경상북도,봉화군,,90,113
kor,4793000000,경상북도,울진군,,102,115
kor,4794000000,경상북도,울릉군,,127,127
kor,4800000000,경상남도,,,91,77
kor,4812100000,경상남도,창원시의창구,,90,77
kor,4812300000,경상남도,창원시성산구,,91,76
kor,4812500000,경상남도,창원시마산합포구,,89,76
kor,4812700000,경상남도,창원시마산회원구,,89,76
kor,4812900000,경상남도,창원시진해구,,91,75
kor,4817000000,경상남도,진주시,,81,75
kor,4822000000,경상남도,통영시,,87,68
kor,4824000000,경상남도,사천시,,80,71
kor,4825000000,경상남도,김해시,,95,77
kor,4827000000,경상남도,밀양시,,92,83
kor,4831000000,경상남도,거제시,,90,69
kor,4833000000,경상남도,양산시,,97,79
kor,4872000000,경상남도,의령군,,83,78
kor,4873000000,경상남도,함안군,,86,77
kor,4874000000,경상남도,창녕군,,87,83
kor,4882000000,경상남도,고성군,,85,71
kor,4884000000,경상남도,남해군,,77,68
kor,4885000000,경상남도,하동군,,74,73
kor,4886000000,경상남도,산청군,,76,80
kor,4887000000,경상남도,함양군,,74,82
kor,4888000000,경상남도,거창군,,77,86
kor,4889000000,경상남도,합천군,,81,84
kor,5000000000,제주특별자치도,,,52,38
kor,5011000000,제주특별자치도,제주시,,53,38
kor,5013000000,제주특별자치도,서귀포시,,52,33
kor,5019000000,이어도,,,28,8
kor,5019099000,이어도,,,28,8
kor,5100000000,강원특별자치도,,,73,134
kor,5111000000,강원특별자치도,춘천시,,73,134
kor,5113000000,강원특별자치도,원주시,,76,122
kor,5115000000,강원특별자치도,강릉시,,92,131
kor,5117000000,강원특별자치도,동해시,,97,127
kor,5119000000,강원특별자치도,태백시,,95,119
kor,5121000000,강원특별자치도,속초시,,87,141
kor,5123000000,강원특별자치도,삼척시,,98,125
kor,5172000000,강원특별자치도,홍천군,,75,130
kor,5173000000,강원특별자치도,횡성군,,77,125
kor,5175000000,강원특별자치도,영월군,,86,119
kor,5176000000,강원특별자치도,평창군,,84,123
kor,5177000000,강원특별자치도,정선군,,89,123
kor,5178000000,강원특별자치도,철원군,,65,139
kor,5179000000,강원특별자치도,화천군,,72,139
kor,5180000000,강원특별자치도,양구군,,77,139
kor,5181000000,강원특별자치도,인제군,,80,138
kor,5182000000,강원특별자치도,고성군,,85,145
kor,5183000000,강원특별자치도,양양군,,88,138